n	r	m
{"id":2,"labels":["Article"],"properties":{"action":"적용한다","concept":"국외행위에 대한 적용","full_text":"제2조(국외행위에 대한 적용) 이 법은 국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에도 적용한다.","number":"제2조","object":"국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우","subject":"이 법"},"type":"node"}		
{"id":3,"labels":["Article"],"properties":{"concept":"금융투자상품의 정의","full_text":"제3조(금융투자상품) ① 이 법에서 “금융투자상품”이란 이익을 얻거나 손실을 회피할 목적으로 현재 또는 장래의 특정 (特定) 시점에 금전, 그 밖의 재산적 가치가 있는 것(이하 “금전등”이라 한다)을 지급하기로 약정함으로써 취득하는 권리로서, 그 권리를 취득하기 위하여 지급하였거나 지급하여야 할 금전등의 총액(판매수수료 등 대통령령으로 정하 는 금액을 제외한다)이 그 권리로부터 회수하였거나 회수할 수 있는 금전등의 총액(해지수수료 등 대통령령으로 정 하는 금액을 포함한다)을 초과하게 될 위험(이하 “투자성”이라 한다)이 있는 것을 말한다. 다만, 다음 각 호의 어느 하 나에 해당하는 것을 제외한다. <개정 2011. 7. 25., 2013. 5. 28.> 1. 원화로 표시된 양도성 예금증서 2. 「신탁법」","number":"제3조"},"type":"node"}		
{"id":4,"labels":["Article"],"properties":{"action":"해당함","concept":"수익증권발행신탁이 아닌 특정 신탁의 범위","full_text":"제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁(","number":"특정 신탁 정의 (조항 번호 미상)","object":"제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁"},"type":"node"}		
{"id":5,"labels":["Article"],"properties":{"action":"재산을 신탁받는 행위 (제외)","concept":"신탁 재산 수탁의 예외","full_text":"제 103조제1항제1호의 재산을 신탁받는 경우는 제외하고 수탁자가 「신탁법」","number":"제103조제1항제1호 (참조)","object":"제103조제1항제1호의 재산","subject":"수탁자"},"type":"node"}		
{"id":6,"labels":["Article"],"properties":{"action":"3년 이하의 징역 또는 3천만원 이하의 벌금에 처하며, 징역과 벌금은 병과될 수 있음","concept":"벌칙 (허가 없는 영업에 대한 처벌)","full_text":"제46조(벌칙) ① 다음 각 호의 어느 하나에 해당하는 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. 1. 제10조를 위반하여 허가 없이 영업을 한 자. ② 제1항의 징역과 벌금은 병과할 수 있다.","number":"제46조","object":"허가 없는 영업 행위","subject":"제10조를 위반하여 허가 없이 영업을 한 자"},"type":"node"}		
{"id":7,"labels":["Article"],"properties":{"action":"정의, 구분 및 제외한다","concept":"금융투자상품의 정의, 제외 및 구분","full_text":"제48조까지의 규정에 따 라 처분 권한을 행사하는 경우는 포함한다. 이하 “관리형신탁”이라 한다)의 수익권 가. 위탁자(신탁계약에 따라 처분권한을 가지고 있는 수익자를 포함한다)의 지시에 따라서만 신탁재산의 처분이 이루어지는 신탁 나. 신탁계약에 따라 신탁재산에 대하여 보존행위 또는 그 신탁재산의 성질을 변경하지 아니하는 범위에서 이용 ㆍ개량 행위만을 하는 신탁 3. 그 밖에 해당 금융투자상품의 특성 등을 고려하여 금융투자상품에서 제외하더라도 투자자 보호 및 건전한 거래 질서를 해할 우려가 없는 것으로서 대통령령으로 정하는 금융투자상품 ② 제1항의 금융투자상품은 다음 각 호와 같이 구분한다. 1. 증권 2. 파생상품 가. 장내파생상품 나. 장외파생상품","number":"금융투자상품 정의 및 구분","object":"금융투자상품 (관리형신탁의 수익권, 증권, 파생상품 등)"},"type":"node"}		
{"id":8,"labels":["Article"],"properties":{"action":"추가 지급의무를 부담하지 아니함","concept":"증권의 정의","full_text":"제4조(증권) ① 이 법에서 “증권”이란 내국인 또는 외국인이 발행한 금융투자상품으로서 투자자가 취득과 동시에 지급 한 금전등 외에 어떠한 명목으로든지 추가로 지급의무(투자자가 기초자산에 대한 매매를 성립시킬 수 있는 권리를 행사하게 됨으로써 부담하게 되는 지급의무를 제외한다)를 부담하지 아니하는 것을 말한다. 다만, 다음 각 호의 어느 하나에 해당하는 증권은 제2편제5장, 제3편제1장(제8편부터 제10편까지의 규정 중 제2편제5장, 제3편제1장의 규정 에 따른 의무 위반행위에 대한 부분을 포함한다) 및","number":"제4조","object":"내국인 또는 외국인이 발행한 금융투자상품","subject":"투자자"},"type":"node"}		
{"id":9,"labels":["Article"],"properties":{"concept":"내용 없음 또는 삭제된 조항","full_text":"제178조ㆍ","number":"제178조"},"type":"node"}		
{"id":10,"labels":["Article"],"properties":{"action":"증권으로 보거나, 구분하거나, 정의한다","concept":"증권의 정의 및 종류","full_text":"제179조를 적용하는 경우에만 증권으로 본다. <개정 2013. 5. 28., 2015. 7. 24.> 1. 투자계약증권 2. 지분증권, 수익증권 또는 증권예탁증권 중 해당 증권의 유통 가능성, 이 법 또는 금융관련 법령에서의 규제 여부 등을 종합적으로 고려하여 대통령령으로 정하는 증권 법제처 2 국가법령정보센터 자본시장과 금융투자업에 관한 법률 ② 제1항의 증권은 다음 각 호와 같이 구분한다. 1. 채무증권 2. 지분증권 3. 수익증권 4. 투자계약증권 5. 파생결합증권 6. 증권예탁증권 ③ 이 법에서 “채무증권”이란 국채증권, 지방채증권, 특수채증권(법률에 의하여 직접 설립된 법인이 발행한 채권을 말한다. 이하 같다), 사채권(「상법」","number":"증권의 정의 및 구분 관련 조항","object":"투자계약증권, 지분증권, 채무증권 등 증권의 범위 및 종류","subject":"이 법 및 대통령령"},"type":"node"}		
{"id":11,"labels":["Article"],"properties":{"action":"정의하다","concept":"지분증권의 정의","full_text":"제469조제2항제3호에 따른 사채의 경우에는 제7항제1호에 해당하는 것으로 한 정한다. 이하 같다), 기업어음증권(기업이 사업에 필요한 자금을 조달하기 위하여 발행한 약속어음으로서 대통령령 으로 정하는 요건을 갖춘 것을 말한다. 이하 같다), 그 밖에 이와 유사(類似)한 것으로서 지급청구권이 표시된 것을 말한다.<개정 2013. 5. 28.> ④ 이 법에서 “지분증권”이란 주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법인이 발행한 출자증권, 「 상법」에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명조합의 출자지분, 그 밖에 이와 유사한 것으로 서 출자지분 또는 출자지분을 취득할 권리가 표시된 것을 말한다.<개정 2013. 5. 28.> ⑤ 이 법에서 “수익증권”이란","number":"제4항","object":"주권, 신주인수권이 표시된 것, 법률에 의하여 직접 설립된 법인이 발행한 출자증권, 상법에 따른 합자회사ㆍ유한책임회사ㆍ유한회사ㆍ합자조합ㆍ익명조합의 출자지분, 그 밖에 이와 유사한 것으로서 출자지분 또는 출자지분을 취득할 권리가 표시된 것","subject":"이 법"},"type":"node"}		
{"id":12,"labels":["Article"],"properties":{"concept":"수익증권","full_text":"제110조의 수익증권,","number":"제110조"},"type":"node"}		
{"id":13,"labels":["Article"],"properties":{"concept":"증권의 정의 (수익증권, 투자계약증권, 파생결합증권)","full_text":"제189조의 수익증권, 그 밖에 이와 유사한 것으로서 신탁의 수익 권이 표시된 것을 말한다. ⑥ 이 법에서 “투자계약증권”이란 특정 투자자가 그 투자자와 타인(다른 투자자를 포함한다. 이하 이 항에서 같다) 간의 공동사업에 금전등을 투자하고 주로 타인이 수행한 공동사업의 결과에 따른 손익을 귀속받는 계약상의 권리 가 표시된 것을 말한다. ⑦ 이 법에서 “파생결합증권”이란 기초자산의 가격ㆍ이자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계하여 미리 정하여진 방법에 따라 지급하거나 회수하는 금전등이 결정되는 권리가 표시된 것을 말한다. 다만, 다 음 각 호의 어느 하나에 해당하는 것은 제외한다.<개정 2013. 5. 28., 2016. 3. 29., 2017. 4. 18., 2022. 12. 31.> 1. 발행과 동시에 투자자가 지급한 금전등에 대한 이자, 그 밖의 과실(果實)에 대하여만 해당 기초자산의 가격ㆍ이 자율ㆍ지표ㆍ단위 또는 이를 기초로 하는 지수 등의 변동과 연계된 증권 2.","number":"정의 조항 (항 6, 7)"},"type":"node"}		
{"id":14,"labels":["Article"],"properties":{"concept":"계약상의 권리","full_text":"제5조제1항제2호에 따른 계약상의 권리(","number":"제5조제1항제2호"},"type":"node"}		
{"id":15,"labels":["Article"],"properties":{"action":"객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거나 상환 및 이자지급 의무가 감면된다는 조건이 붙음","concept":"조건부 사채의 특성 및 정의","full_text":"제5조제1항 각 호 외의 부분 단서에서 정하는 금융투자상품은 제외한다) 3. 해당 사채의 발행 당시 객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거 나 그 사채의 상환과 이자지급 의무가 감면된다는 조건이 붙은 것으로서","number":"제5조제1항제3호","object":"해당 사채 및 그 사채의 상환과 이자지급 의무"},"type":"node"}		
{"id":16,"labels":["Article"],"properties":{"action":"발행","concept":"주권상장법인이 발행하는 사채 및 은행법 관련 규정","full_text":"제165조의11제1항에 따라 주권상장법 인이 발행하는 사채 3의2. 「은행법」","number":"제165조의11제1항","object":"사채 및 「은행법」","subject":"주권상장법인"},"type":"node"}		
{"id":17,"labels":["Article"],"properties":{"concept":"조건부자본증권의 종류 및 범위","full_text":"제33조제1항제2호부터 제4호까지의 규정에 따른 상각형 조건부자본증권, 은행주식 전환형 조건부 자본증권 및 은행지주회사주식 전환형 조건부자본증권 3의3. 「금융지주회사법」","number":"3의3","object":"제33조제1항제2호부터 제4호까지의 규정에 따른 상각형 조건부자본증권, 은행주식 전환형 조건부 자본증권 및 은행지주회사주식 전환형 조건부자본증권"},"type":"node"}		
{"id":18,"labels":["Article"],"properties":{"concept":"조건부자본증권 관련 규정 (보험업법)","full_text":"제15조의2제1항제2호 또는 제3호에 따른 상각형 조건부자본증권 또는 전환형 조건부자본 증권 3의4. 「보험업법」","number":"제15조의2","object":"상각형 조건부자본증권 또는 전환형 조건부자본 증권"},"type":"node"}		
{"id":19,"labels":["Article"],"properties":{"concept":"특정 조건부자본증권 및 상법상 증권의 정의 목록","full_text":"제114조의2제1항제1호에서 제3호까지의 규정에 따른 상각형 조건부자본증권, 보험회사주식 전 환형 조건부자본증권 및 금융지주회사주식 전환형 조건부자본증권 4. 「상법」","number":"제4호 (Fragment)","object":"제114조의2제1항제1호부터 제3호까지의 규정에 따른 상각형 조건부자본증권, 보험회사주식 전환형 조건부자본증권, 금융지주회사주식 전환형 조건부자본증권 및 상법상 증권"},"type":"node"}		
{"id":20,"labels":["Article"],"properties":{"concept":"법령 조항 내용 미제공 (분석할 텍스트가 조항 번호만 제시되어 추출 불가)","full_text":"제469조제2항제2호,","number":"제469조제2항제2호"},"type":"node"}		
{"id":21,"labels":["Article"],"properties":{"concept":"조항 내용 미상 (원문 불완전)","full_text":"제513조 및","number":"제513조"},"type":"node"}		
{"id":22,"labels":["Article"],"properties":{"action":"정의함","concept":"증권예탁증권 및 기초자산의 정의","full_text":"제516조의2에 따른 사채 5. 그 밖에 제1호부터 제3호까지, 제3호의2부터 제3호의4까지 및 제4호에 따른 금융투자상품과 유사한 것으로서 대 통령령으로 정하는 금융투자상품 ⑧ 이 법에서 “증권예탁증권”이란 제2항제1호부터 제5호까지의 증권을 예탁받은 자가 그 증권이 발행된 국가 외의 국가에서 발행한 것으로서 그 예탁받은 증권에 관련된 권리가 표시된 것을 말한다. ⑨ 제2항 각 호의 어느 하나에 해당하는 증권에 표시될 수 있거나 표시되어야 할 권리는 그 증권이 발행되지 아니 한 경우에도 그 증권으로 본다. ⑩ 이 법에서 “기초자산”이란 다음 각 호의 어느 하나에 해당하는 것을 말한다. 법제처 3 국가법령정보센터 자본시장과 금융투자업에 관한 법률 1. 금융투자상품 2. 통화(외국의 통화를 포함한다) 3. 일반상품(농산물ㆍ축산물ㆍ수산물ㆍ임산물ㆍ광산물ㆍ에너지에 속하는 물품 및 이 물품을 원료로 하여 제조하거 나 가공한 물품, 그 밖에 이와 유사한 것을 말한다) 4. 신용위험(당사자 또는 제삼자의 신용등급의 변동, 파산 또는 채무재조정 등으로 인한 신용의 변동을 말한다) 5. 그 밖에 자연적ㆍ환경적ㆍ경제적 현상 등에 속하는 위험으로서 합리적이고 적정한 방법에 의하여 가격ㆍ이자율 ㆍ지표ㆍ단위의 산출이나 평가가 가능한 것","number":"제[미상]조제8항","object":"증권예탁증권, 기초자산 및 증권에 표시될 권리"},"type":"node"}		
